Type,Judgement,Section,Offence,Punishment,Status,Type of punishment
Traffic and criminal cases,Accused,279/337 IPC,"rash driving, hurts someone rashly",Fine 1500,Resolved,Fine
Criminal cases,Not guilty,153 RPC 66 IT Act ,"intent to cause roit, sending offensive messages",Committed to session court ,Unresolved,Committed to session court
Traffic cases,Accused,279 IPC,rash driving,Fine 1000,Resolved,Fine
Traffic cases,Accused,279 IPC,rash driving,Fine 1000,Resolved,Fine
Criminal cases,Accused,269/188 IPC ,"Negligently causing danger to life, Disobedience to order duly promulgated by public servant",Fine 1000,Resolved,Fine
Criminal cases,Accused,188/269 IPC ,"Disobedience to order duly promulgated by public servant,Negligently causing danger to life",0,Pending,0
Criminal cases,Accused,188 IPC 11PCAct,"Disobedience to order duly promulgated by public servant, cruelty with animals",0,Pending,0
Traffic cases,Accused,279/IPC 3/181 179 MVAct,"Rash driving, without driving license,disobeying authority",0,Pending,0
Traffic cases,Accused,279 IPC 3/181 MVAct,"Rash Driving,without driving license",0,Pending,0
Criminal cases,Accused,188 IPC 11PCAct 3/181MVAct," Disobedience to order duly promulgated by public servant, cruelty with animals, without driving license",0,Pending,0
Traffic cases,Accused,279 IPC,rash driving,0,Pending,0
Traffic and criminal cases,Accused,279/337 IPC,"rash driving, hurts someone rashly",0,Pending,0
Criminal cases,Not guilty,153 RPC 66 IT Act ,"intent to cause roit, sending offensive messages",0,Pending,0
Traffic cases,Accused,279 IPC,rash driving,0,Pending,0
Traffic cases,Accused,279 IPC,rash driving,0,Pending,0
Criminal cases,Accused,269/188 IPC ,"Negligently causing danger to life, Disobedience to order duly promulgated by public servant",0,Pending,0
